episode,final position x,final position y,success,time taken
0,-1.2364535232073046,-1.1418376147034075,0,0 days 00:00:44.224750
1,0.7846818239174848,0.077719472536263,1,0 days 00:00:12.998804
2,-0.1337100332668154,-0.1867125555572664,0,0 days 00:00:07.080298
3,0.6253426632813169,-1.2330537078383048,0,0 days 00:00:46.982641
4,1.4449476354434407,-0.8360448179277234,0,0 days 00:00:46.898206
5,1.2849810939922195,-0.6031836505178617,0,0 days 00:00:46.864533
6,-1.7304908082323158,0.3086571225178213,0,0 days 00:00:10.190683
7,-1.7301122001288374,0.665681672422315,0,0 days 00:00:09.561915
8,-0.2128775463101479,-0.0168782623623134,0,0 days 00:00:11.429272
9,-1.7551384734675248,-0.3339425604107258,0,0 days 00:00:05.613628
10,-0.07489337230394291,-0.19491395410473383,0,0 days 00:00:10.298478
11,-0.05924174267295133,-0.23174204644833274,0,0 days 00:00:14.817488
12,-0.20438901152302671,-0.03622187401206378,0,0 days 00:00:06.867525
13,-0.12495882305162236,-0.17969416138868902,0,0 days 00:00:12.393857
14,1.334913849004336,-0.31637756020693114,0,0 days 00:00:47.183502
15,-0.07636582084078364,-0.2127418732968675,0,0 days 00:00:09.688078
16,-0.1857936563496761,-0.09821733763218424,0,0 days 00:00:10.029435
17,-0.07195158295028714,-0.23660496080366578,0,0 days 00:00:10.782999
18,-0.09961599068044805,-0.1838950203906827,0,0 days 00:00:11.698826
19,-0.06242467187540622,-0.2074400714961791,0,0 days 00:00:14.003370
20,-0.15379559282523325,-0.1468649594319431,0,0 days 00:00:09.057772
21,-0.10474944871543261,-0.20456048510876992,0,0 days 00:00:10.394311
22,-0.18346572225541374,-0.08130111428199026,0,0 days 00:00:08.848504
23,-0.11964846289139056,-0.1799762668731989,0,0 days 00:00:12.870275
24,1.216964968288228,-0.11493065887251759,1,0 days 00:00:35.285252
25,-0.13025496299908867,-0.14754196157669927,0,0 days 00:00:13.664892
26,0.7682342137557011,0.049544841709907,1,0 days 00:00:17.590061
27,0.8711435955269494,-0.19695307127784817,1,0 days 00:00:20.662800
28,1.122276156779429,-0.19868036599403474,1,0 days 00:00:29.854741
29,1.2060394316820158,-0.4878338781121869,0,0 days 00:00:47.072754
