id,steps,stage,time
1,1000,1,25/12/2024
2,854,1,25/12/2024
3,946,1,25/12/2024
4,857,1,25/12/2024
5,896,1,25/12/2024
6,1052,1,25/12/2024
7,903,1,25/12/2024
8,1402,1,25/12/2024
9,964,1,25/12/2024
10,782,1,25/12/2024
11,804,1,25/12/2024
12,799,1,25/12/2024
13,824,1,25/12/2024
14,973,1,25/12/2024
15,996,1,25/12/2024
16,744,1,25/12/2024
17,779,1,25/12/2024
18,796,1,25/12/2024
19,855,1,25/12/2024
20,770,1,25/12/2024
21,789,1,25/12/2024
22,759,1,25/12/2024
23,763,1,25/12/2024
24,791,1,25/12/2024
25,788,1,25/12/2024
26,912,1,25/12/2024
27,749,1,25/12/2024
28,717,1,25/12/2024
29,781,1,25/12/2024
30,766,1,25/12/2024
31,838,1,25/12/2024
32,914,1,25/12/2024
33,863,1,25/12/2024
34,739,1,25/12/2024
35,745,1,25/12/2024
36,743,1,25/12/2024
37,879,1,25/12/2024
38,725,1,25/12/2024
39,814,1,25/12/2024
40,734,1,25/12/2024
41,782,1,25/12/2024
42,730,1,25/12/2024
43,793,1,25/12/2024
44,749,1,25/12/2024
45,763,1,25/12/2024
46,757,1,25/12/2024
47,754,1,25/12/2024
48,768,1,25/12/2024
49,729,1,25/12/2024
50,729,1,25/12/2024
51,767,1,25/12/2024
52,741,1,25/12/2024
53,781,1,25/12/2024
54,822,1,25/12/2024
55,749,1,25/12/2024
56,786,1,25/12/2024
57,1181,1,25/12/2024
58,933,1,25/12/2024
59,792,1,25/12/2024
60,739,1,25/12/2024
61,735,1,25/12/2024
62,739,1,25/12/2024
63,716,1,25/12/2024
64,697,1,25/12/2024
65,687,1,25/12/2024
66,754,1,25/12/2024
67,760,1,25/12/2024
68,693,1,25/12/2024
69,669,1,25/12/2024
70,686,1,25/12/2024
71,714,1,25/12/2024
72,678,1,25/12/2024
73,703,1,25/12/2024
74,750,1,25/12/2024
75,773,1,25/12/2024
76,679,1,25/12/2024
77,863,1,25/12/2024
78,696,1,25/12/2024
79,663,1,25/12/2024
80,923,1,25/12/2024
81,653,1,25/12/2024
82,708,1,25/12/2024
83,658,1,25/12/2024
84,642,1,25/12/2024
85,658,1,25/12/2024
86,693,1,25/12/2024
87,641,1,25/12/2024
88,678,1,25/12/2024
89,684,1,25/12/2024
90,680,1,25/12/2024
91,675,1,25/12/2024
92,673,1,25/12/2024
93,715,1,25/12/2024
94,664,1,25/12/2024
95,646,1,25/12/2024
96,673,1,25/12/2024
97,680,1,25/12/2024
98,689,1,25/12/2024
99,671,1,25/12/2024
100,661,1,25/12/2024
101,768,1,25/12/2024
102,639,1,25/12/2024
103,673,1,25/12/2024
104,642,1,25/12/2024
105,637,1,25/12/2024
106,607,1,25/12/2024
107,608,1,25/12/2024
108,615,1,25/12/2024
109,603,1,25/12/2024
110,609,1,25/12/2024
111,670,1,25/12/2024
112,596,1,25/12/2024
113,618,1,25/12/2024
114,614,1,25/12/2024
115,637,1,25/12/2024
116,673,1,25/12/2024
117,626,1,25/12/2024
118,659,1,25/12/2024
119,607,1,25/12/2024
120,763,1,25/12/2024
121,655,1,25/12/2024
122,643,1,25/12/2024
123,649,1,25/12/2024
124,614,1,25/12/2024
125,624,1,25/12/2024
126,638,1,25/12/2024
127,604,1,25/12/2024
128,612,1,25/12/2024
129,610,1,25/12/2024
130,605,1,25/12/2024
131,659,1,25/12/2024
132,627,1,25/12/2024
133,617,1,25/12/2024
134,624,1,25/12/2024
135,599,1,25/12/2024
136,592,1,25/12/2024
137,626,1,25/12/2024
138,620,1,25/12/2024
139,607,1,25/12/2024
140,750,1,25/12/2024
141,598,1,25/12/2024
142,572,1,25/12/2024
143,601,1,25/12/2024
144,583,1,25/12/2024
145,582,1,25/12/2024
146,602,1,25/12/2024
147,600,1,25/12/2024
148,665,1,25/12/2024
149,669,1,25/12/2024
150,642,1,25/12/2024
151,672,1,25/12/2024
152,628,1,25/12/2024
153,847,1,25/12/2024
154,641,1,25/12/2024
155,653,1,25/12/2024
156,637,1,25/12/2024
157,627,1,25/12/2024
158,634,1,25/12/2024
159,668,1,25/12/2024
160,676,1,25/12/2024
161,700,1,25/12/2024
162,621,1,25/12/2024
163,617,1,25/12/2024
164,619,1,25/12/2024
165,618,1,25/12/2024
166,604,1,25/12/2024
167,624,1,25/12/2024
168,594,1,25/12/2024
169,697,1,25/12/2024
170,623,1,25/12/2024
171,648,1,25/12/2024
172,634,1,25/12/2024
173,698,1,25/12/2024
174,605,1,25/12/2024
175,602,1,25/12/2024
176,636,1,25/12/2024
177,646,1,25/12/2024
178,638,1,25/12/2024
179,677,1,25/12/2024
180,705,1,25/12/2024
181,643,1,25/12/2024
182,579,1,25/12/2024
183,607,1,25/12/2024
184,575,1,25/12/2024
185,583,1,25/12/2024
186,556,1,25/12/2024
187,559,1,25/12/2024
188,565,1,25/12/2024
189,593,1,25/12/2024
190,593,1,25/12/2024
191,552,1,25/12/2024
192,556,1,25/12/2024
193,568,1,25/12/2024
194,614,1,25/12/2024
195,555,1,25/12/2024
196,545,1,25/12/2024
197,542,1,25/12/2024
198,570,1,25/12/2024
199,657,1,25/12/2024
200,556,1,25/12/2024
201,548,1,25/12/2024
202,550,1,25/12/2024
203,572,1,25/12/2024
204,604,1,25/12/2024
205,613,1,25/12/2024
206,578,1,25/12/2024
207,618,1,25/12/2024
208,859,1,25/12/2024
209,921,1,25/12/2024
210,552,1,25/12/2024
211,495,1,25/12/2024
212,506,1,25/12/2024
213,489,1,25/12/2024
214,503,1,25/12/2024
215,500,1,25/12/2024
216,525,1,25/12/2024
217,485,1,25/12/2024
218,486,1,25/12/2024
219,480,1,25/12/2024
220,507,1,25/12/2024
221,508,1,25/12/2024
222,516,1,25/12/2024
223,538,1,25/12/2024
224,528,1,25/12/2024
225,487,1,25/12/2024
226,522,1,25/12/2024
227,491,1,25/12/2024
228,498,1,25/12/2024
229,499,1,25/12/2024
230,489,1,25/12/2024
231,504,1,25/12/2024
232,493,1,25/12/2024
233,495,1,25/12/2024
234,490,1,25/12/2024
235,523,1,25/12/2024
236,456,1,25/12/2024
237,489,1,25/12/2024
238,478,1,25/12/2024
239,460,1,25/12/2024
240,458,1,25/12/2024
241,457,1,25/12/2024
242,462,1,25/12/2024
243,472,1,25/12/2024
244,457,1,25/12/2024
245,464,1,25/12/2024
246,461,1,25/12/2024
247,457,1,25/12/2024
248,454,1,25/12/2024
249,462,1,25/12/2024
250,457,1,25/12/2024
251,453,1,25/12/2024
252,467,1,25/12/2024
253,462,1,25/12/2024
254,459,1,25/12/2024
255,462,1,25/12/2024
256,464,1,25/12/2024
257,457,1,25/12/2024
258,458,1,25/12/2024
259,528,1,25/12/2024
260,477,1,25/12/2024
261,463,1,25/12/2024
262,456,1,25/12/2024
263,458,1,25/12/2024
264,447,1,25/12/2024
265,452,1,25/12/2024
266,471,1,25/12/2024
267,467,1,25/12/2024
