id,score,time
1,0.475,28/01/2025
2,0.325,28/01/2025
3,0.125,28/01/2025
4,0.15,28/01/2025
5,0.15,28/01/2025
6,0.15,28/01/2025
7,0.1,28/01/2025
8,0.1,28/01/2025
9,0.125,28/01/2025
10,0.175,28/01/2025
11,0.125,28/01/2025
12,0.15,28/01/2025
13,0.125,28/01/2025
14,0.1,28/01/2025
15,0.15,28/01/2025
16,0.1,28/01/2025
17,0.325,28/01/2025
18,0.125,28/01/2025
19,0.35,28/01/2025
20,0.35,28/01/2025
21,0.1,28/01/2025
22,0.275,28/01/2025
23,0.55,28/01/2025
24,0.15,28/01/2025
25,0.2,"28/01/2025, 19:42:37"
26,0.175,"28/01/2025, 19:43:03"
27,0.15,"28/01/2025, 19:43:18"
28,0.25,"28/01/2025, 19:43:49"
29,0.2,"28/01/2025, 19:44:02"
30,0.15,"28/01/2025, 19:44:18"
31,0.15,"28/01/2025, 19:44:33"
32,0.15,"28/01/2025, 19:44:48"
33,0.075,"28/01/2025, 19:44:59"
34,0.275,"28/01/2025, 19:45:51"
35,0.1,"28/01/2025, 19:45:57"
36,0.375,"28/01/2025, 19:46:35"
37,0.225,"28/01/2025, 19:47:08"
38,0.1,"28/01/2025, 19:47:27"
39,0.175,"28/01/2025, 19:47:43"
40,0.2,"28/01/2025, 19:48:04"
41,0.125,"28/01/2025, 19:48:16"
42,0.175,"28/01/2025, 19:48:31"
43,0.2,"28/01/2025, 19:48:46"
44,0.475,"28/01/2025, 19:49:26"
45,0.15,"28/01/2025, 19:49:49"
46,0.15,"28/01/2025, 19:50:12"
47,0.25,"28/01/2025, 19:52:15"
48,0.175,"28/01/2025, 19:52:28"
49,0.8,"28/01/2025, 19:53:30"
50,0.2,"28/01/2025, 19:53:46"
51,0.175,"28/01/2025, 19:53:57"
52,0.15,"28/01/2025, 19:54:10"
53,0.275,"28/01/2025, 19:54:35"
54,0.2,"28/01/2025, 19:54:48"
55,0.65,"28/01/2025, 19:55:59"
56,0.175,"28/01/2025, 19:56:33"
57,0.375,"28/01/2025, 19:58:13"
58,0.725,"28/01/2025, 20:00:55"
59,0.625,"28/01/2025, 20:02:24"
60,0.175,"28/01/2025, 20:02:44"
61,0.15,"28/01/2025, 20:03:28"
62,0.5,"28/01/2025, 20:04:11"
63,0.15,"28/01/2025, 20:04:37"
64,0.525,"28/01/2025, 20:05:24"
65,0.925,"28/01/2025, 20:07:12"
66,0.575,"28/01/2025, 20:07:55"
67,0.45,"28/01/2025, 20:59:46"
68,0.4,"28/01/2025, 21:00:13"
69,0.2,"28/01/2025, 21:00:33"
70,0.175,"28/01/2025, 21:00:47"
71,0.175,"28/01/2025, 21:01:03"
72,0.15,"28/01/2025, 21:01:24"
73,0.425,"28/01/2025, 21:01:49"
74,0.575,"28/01/2025, 21:02:49"
75,0.325,"28/01/2025, 21:03:20"
